antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'22624'}),frozenset({'22625'}),0.06377496242216019,0.04552286879965643,0.02845179299978527,0.44612794612794615,9.800084175084175,0.02554857375273825,1.7232808994924138,0.9591284403669725
frozenset({'22625'}),frozenset({'22624'}),0.04552286879965643,0.06377496242216019,0.02845179299978527,0.625,9.800084175084175,0.02554857375273825,2.496600100207573,0.9407874015748031
frozenset({'21754'}),frozenset({'21755'}),0.0707537041013528,0.057440412282585354,0.029525445565814903,0.41729893778452204,7.264901507523436,0.025461323631713148,1.6175697091296257,0.9280121842340213
frozenset({'21755'}),frozenset({'21754'}),0.057440412282585354,0.0707537041013528,0.029525445565814903,0.5140186915887851,7.264901507523437,0.025461323631713148,1.9121029550222164,0.914904368896851
frozenset({'47590B'}),frozenset({'47590A'}),0.03371269057333047,0.03446424736955121,0.02651921838093193,0.786624203821656,22.824354624283192,0.02535733587351953,4.525048154118818,0.9895474583895636
frozenset({'47590A'}),frozenset({'47590B'}),0.03446424736955121,0.03371269057333047,0.02651921838093193,0.7694704049844237,22.824354624283192,0.02535733587351953,4.191597653053526,0.9903177054938366
frozenset({'82483'}),frozenset({'82486'}),0.048958557010951254,0.05690358599957054,0.027378140433755638,0.5592105263157895,9.827333664349554,0.024592222974468097,2.1395620138517204,0.944483550927709
frozenset({'82486'}),frozenset({'82483'}),0.05690358599957054,0.048958557010951254,0.027378140433755638,0.4811320754716982,9.827333664349554,0.024592222974468097,1.8329162355788942,0.9524402657237759
frozenset({'22193'}),frozenset({'22191'}),0.04283873738458235,0.04090616276572901,0.021473051320592657,0.5012531328320803,12.253731441464556,0.019720682956460612,1.92300724148982,0.9594957936062816
frozenset({'22191'}),frozenset({'22193'}),0.04090616276572901,0.04283873738458235,0.021473051320592657,0.5249343832020997,12.253731441464554,0.019720682956460612,2.0147980168865973,0.9575624090451137
frozenset({'22193'}),frozenset({'22192'}),0.04283873738458235,0.035645265192183806,0.020184668241357097,0.4711779448621554,13.218528248331674,0.01865767008678534,1.8235902331199936,0.9657187861720028
frozenset({'22192'}),frozenset({'22193'}),0.035645265192183806,0.04283873738458235,0.020184668241357097,0.5662650602409639,13.218528248331674,0.01865767008678534,2.2067884665855466,0.9585151390250952
frozenset({'23173'}),frozenset({'22423'}),0.033820055829933436,0.15836375348937085,0.020828859780974877,0.6158730158730158,3.8889771320957753,0.01547298879652654,2.1910365095111417,0.7688660710296562
